age;availresolution;code;edu;gender;resolution;system;time;vpid;cid
26;1920x1200;DBHHZZ;B.S.;female;1920x1200;"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36";2016-07-05T08:23:49-04:00;371;DBHHZZ
26;1366x728;KKCVGH;Bachelor degree;female;1366x768;"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36";2016-07-05T08:23:47-04:00;370;KKCVGH
44;1920x1080;SORCMA;12th grade;female;1920x1080;"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36";2016-07-05T08:24:08-04:00;372;SORCMA
50;1600x860;NRUCLE;15;female;1600x900;"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36";2016-07-05T08:24:58-04:00;373;NRUCLE
44;1680x1010;VGYRLT;BSc;male;1680x1050;"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36";2016-07-05T13:25:06+01:00;374;VGYRLT
34;1024x560;VRGNNV;JD;female;1024x600;"Mozilla/5.0 (Windows NT 6.1; rv:47.0) Gecko/20100101 Firefox/47.0";2016-07-05T08:25:21-04:00;375;VRGNNV
58;1920x1030;OUGSBA;college graduate;female;1920x1080;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.106 Safari/537.36";2016-07-05T07:26:00-05:00;376;OUGSBA
39;1512x900;MDXJSL;Bachelors degree;female;1600x900;"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36";2016-07-05T08:25:44-04:00;377;MDXJSL
35;1920x1040;BNNBAQ;associates;female;1920x1080;"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36";2016-07-05T08:26:40-04:00;378;BNNBAQ
30;1920x1040;QQBOGG;some college;male;1920x1080;"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36";2016-07-05T08:27:03-04:00;379;QQBOGG
27;1600x773;XOFIJR;Bachelors;female;1600x900;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/601.6.17 (KHTML, like Gecko) Version/9.1.1 Safari/537.86.6";2016-07-05T08:27:42-04:00;381;XOFIJR
33;1920x1040;UFAXGM;College Degree;male;1920x1080;"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36";2016-07-05T07:27:10-05:00;380;UFAXGM
35;1680x946;SMKISI;bachelors;female;1680x1050;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:47.0) Gecko/20100101 Firefox/47.0";2016-07-05T08:27:56-04:00;382;SMKISI
32;360x640;VQEGUS;Associates degree ;female;360x640;"Mozilla/5.0 (Linux; Android 4.4.4; SGH-M919 Build/KTU84P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.89 Mobile Safari/537.36";2016-07-05T05:28:21-07:00;384;VQEGUS
34;1600x860;NXVYJP;Some College;male;1600x900;"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36";2016-07-05T05:28:28-07:00;385;NXVYJP
22;1280x760;JMAMNC;some college;female;1280x800;Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36;2016-07-05T05:29:29-07:00;386;JMAMNC
25;1536x826;WDTTBI;College graduate;male;1536x864;"Mozilla/5.0 (Windows NT 6.1; WOW64; rv:46.0) Gecko/20100101 Firefox/46.0";2016-07-05T08:29:28-04:00;387;WDTTBI
32;1280x984;LOIAQP;Associates degree;female;1280x1024;"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36";2016-07-05T05:29:52-07:00;389;LOIAQP
62;1366x728;WPTJXY;PhD;female;1366x768;"Mozilla/5.0 (Windows NT 10.0; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0";2016-07-05T08:30:05-04:00;391;WPTJXY
36;1920x1080;CADEHQ;16;male;1920x1080;"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36";2016-07-05T06:30:05-06:00;392;CADEHQ
29;1600x860;ETKRLL;MBA;male;1600x900;"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36";2016-07-05T06:28:03-06:00;383;ETKRLL
53;1024x748;FSLLGN;Undergraduate degree;female;768x1024;"Mozilla/5.0 (iPad; CPU OS 9_3_2 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) FxiOS/1.4 Mobile/13F69 Safari/601.1.46";2016-07-05T08:30:10-04:00;393;FSLLGN
31;1366x741;JEDLIX;professional degree  post graduate ;female;1366x768;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_1) AppleWebKit/601.2.7 (KHTML, like Gecko) Version/9.0.1 Safari/601.2.7";2016-07-05T08:31:08-04:00;394;JEDLIX
57;1920x1050;GTCVPX;High school diploma;male;1920x1080;"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.0.11490 Safari/537.36";2016-07-05T08:29:55-04:00;390;GTCVPX
54;1024x738;HIXVWP;High School Graduate ;female;1024x768;Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36;2016-07-05T07:38:11-05:00;396;HIXVWP
34;1304x768;XHYWCV;BA Degree;female;1366x768;"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36";2016-07-05T07:31:23-05:00;395;XHYWCV
62;1024x748;ZNBUWN;High school ;male;768x1024;"Mozilla/5.0 (iPad; CPU OS 9_3_2 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13F69 Safari/601.1";2016-07-05T08:32:23-04:00;397;ZNBUWN
26;1366x721;OEZPBB;Some college no degree;male;1366x768;"Mozilla/5.0 (X11; CrOS x86_64 8172.60.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36";2016-07-05T08:32:42-04:00;399;OEZPBB
36;320x548;KRTPFH;2 year college;female;320x568;"Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13B143 Safari/601.1";2016-07-05T07:32:33-05:00;398;KRTPFH
46;1600x860;TVBEHJ;Masters;male;1600x900;"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36";2016-07-05T08:33:15-04:00;400;TVBEHJ
53;1920x1040;YMMTRS;Bachelors;female;1920x1080;"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36";2016-07-05T07:33:27-05:00;401;YMMTRS
36;1920x1030;WVEHGA;Some College no degree;female;1920x1080;"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36";2016-07-05T08:33:39-04:00;402;WVEHGA
36;1920x1030;WVEHGA;Some College no degree;female;1920x1080;"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36";2016-07-05T08:33:39-04:00;402;WVEHGA
53;1188x633;QHMOZL;some college;female;1188x668;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2486.0 Safari/537.36 Edge/13.10586";2016-07-05T07:33:55-05:00;403;QHMOZL
36;1366x721;XZPGNW;bachelor degree;female;1366x768;"Mozilla/5.0 (X11; CrOS armv7l 8172.60.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36";2016-07-05T08:33:59-04:00;404;XZPGNW
62;1024x748;RRLGDO;High school;male;768x1024;"Mozilla/5.0 (iPad; CPU OS 9_3_2 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13F69 Safari/601.1";2016-07-05T08:36:39-04:00;405;RRLGDO
31;1280x984;AWADEN;Bachelor s Degree;female;1280x1024;"Mozilla/5.0 (Windows NT 6.1; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0";2016-07-05T08:37:17-04:00;407;AWADEN
49;1024x560;NOEFZG;high school;female;1024x600;"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36";2016-07-05T06:37:33-06:00;408;NOEFZG
33;1366x728;YYPUNF;some college;female;1366x768;"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36";2016-07-05T08:38:22-04:00;410;YYPUNF
53;1188x633;OOTEOQ;college;female;1188x668;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2486.0 Safari/537.36 Edge/13.10586";2016-07-05T07:38:21-05:00;409;OOTEOQ
26;1276x777;EPEZED;md;female;1280x800;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.106 Safari/537.36";2016-07-05T08:29:46-04:00;388;EPEZED
50;1366x728;UMEOFG;some college;male;1366x768;"Mozilla/5.0 (Windows NT 6.1; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0";2016-07-05T08:39:23-04:00;412;UMEOFG
35;640x360;QNNBXC;Masters;male;640x360;"Mozilla/5.0 (Linux; Android 6.0.1; SM-G920P Build/MMB29K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.105 Mobile Safari/537.36";2016-07-05T08:39:02-04:00;413;QNNBXC
29;768x1004;ZLOHRD;Some college;female;768x1024;"Mozilla/5.0 (iPad; CPU OS 9_3_2 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13F69 Safari/601.1";2016-07-05T08:39:14-04:00;414;ZLOHRD
40;1920x1040;HZUSXP;High School;male;1920x1080;"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36";2016-07-05T08:39:28-04:00;415;QMVRLD
35;1920x1040;ITMDFP;Bachelors Degree;female;1920x1080;Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36;2016-07-05T08:39:53-04:00;417;ITMDFP
25;1920x1040;QGKXQU;bachelors ;male;1920x1080;"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36";2016-07-05T08:36:53-04:00;406;QGKXQU
46;1366x728;HACWKM;less than high school;male;1366x768;"Mozilla/5.0 (Windows NT 10.0; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0";2016-07-05T07:39:58-05:00;418;HACWKM
46;1366x728;TFLUJD;high school;female;1366x768;"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36";2016-07-05T08:40:15-04:00;420;TFLUJD
27;1366x677;YWQWSG;MA;male;1366x768;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36";2016-07-05T07:40:28-05:00;421;YWQWSG
