code;page;time;vpid;cid
YMMTRS;3;13670;401;YMMTRS
OEZPBB;2;29951;399;OEZPBB
TVBEHJ;2;36002;400;TVBEHJ
OEZPBB;3;18625;399;OEZPBB
TVBEHJ;3;21750;400;TVBEHJ
WVEHGA;2;13411;402;WVEHGA
WVEHGA;3;11054;402;WVEHGA
RRLGDO;-1;9733;405;RRLGDO
RRLGDO;0;3597;405;RRLGDO
AWADEN;-1;8105;407;AWADEN
AWADEN;0;4452;407;AWADEN
NOEFZG;-1;12852;408;NOEFZG
NOEFZG;0;6403;408;NOEFZG
YYPUNF;-1;3031;410;YYPUNF
YYPUNF;0;2585;410;YYPUNF
OOTEOQ;-1;2898;409;OOTEOQ
OOTEOQ;0;2278;409;OOTEOQ
NOEFZG;1;31229;408;NOEFZG
YYPUNF;1;20416;410;YYPUNF
EPEZED;-1;8655;388;EPEZED
EPEZED;0;2916;388;EPEZED
OOTEOQ;1;23551;409;OOTEOQ
UMEOFG;-1;3707;412;UMEOFG
UMEOFG;0;2839;412;UMEOFG
XHYWCV;2;42765;395;XHYWCV
QNNBXC;-1;9132;413;QNNBXC
QNNBXC;0;4507;413;QNNBXC
YYPUNF;2;6895;410;YYPUNF
XHYWCV;3;21487;395;XHYWCV
YYPUNF;3;4727;410;YYPUNF
ZLOHRD;-1;13502;414;ZLOHRD
ZLOHRD;0;7774;414;ZLOHRD
AWADEN;2;53177;407;AWADEN
QMVRLD;-1;24779;416;QMVRLD
QMVRLD;0;4175;416;QMVRLD
ITMDFP;-1;13858;417;ITMDFP
HACWKM;-1;6412;418;HACWKM
ITMDFP;0;8270;417;ITMDFP
HACWKM;0;6567;418;HACWKM
QMVRLD;1;23373;416;QMVRLD
TFLUJD;-1;5351;420;TFLUJD
TFLUJD;0;4313;420;TFLUJD
YWQWSG;-1;8972;421;YWQWSG
YWQWSG;0;6102;421;YWQWSG
NOEFZG;2;14205;408;NOEFZG
SEDKIH;-1;17116;419;SEDKIH
NOEFZG;3;6177;408;NOEFZG
TFLUJD;1;23988;420;TFLUJD
ITMDFP;1;40076;417;ITMDFP
SEDKIH;0;9447;419;SEDKIH
YWQWSG;1;33273;421;YWQWSG
QCDYAO;-1;1479;425;QCDYAO
QCDYAO;0;1455;425;QCDYAO
QCDYAO;1;2027;425;QCDYAO
QMVRLD;2;13270;416;QMVRLD
GRSYSM;-1;8184;423;GRSYSM
